,xcoord,ycoord
s_008um_00324_00190-1,15611.616862285795,9601.349476343274
s_008um_00121_00284-1,12777.927927877021,3716.3019200317353
s_008um_00375_00231-1,14436.576662842355,11108.554173681488
s_008um_00088_00167-1,16180.388832705148,2700.2334169146375
s_008um_00476_00222-1,14743.475197423682,14053.138371860598
s_008um_00124_00227-1,14443.805773689213,3778.34542827315
s_008um_00685_00306-1,12382.07145214398,20191.023485069363
s_008um_00286_00587-1,4003.638534137236,8668.834393090301
s_008um_00074_00408-1,9136.509878397237,2399.636068980883
s_008um_00325_00448-1,8078.643613108916,9745.39674371728
s_008um_00210_00462-1,7619.474998951822,6394.431297282385
s_008um_00709_00461-1,7867.493127062252,20959.614039763524
s_008um_00532_00492-1,6884.90890162024,15807.250849364495
s_008um_00635_00378-1,10258.110418207636,18763.30856039015
s_008um_00456_00577-1,4370.276947844333,13626.580178745684
s_008um_00666_00602-1,3732.867745263717,19766.64964716511
s_008um_00433_00132-1,17352.94548497876,12757.90137246025
s_008um_00709_00442-1,8422.139787359158,20951.268979787797
s_008um_00339_00204-1,15209.32030361709,10045.520304172553
s_008um_00382_00439-1,8366.38944494549,11405.32618959752
s_008um_00539_00475-1,7384.2514240777045,16004.054931897503
s_008um_00237_00418-1,8915.956033551523,7163.019821765049
s_008um_00452_00268-1,13389.780911486274,13372.890400621214
s_008um_00680_00434-1,8642.969929656925,20101.364110993905
s_008um_00366_00405-1,9352.032224582084,10923.149984385644
s_008um_00543_00642-1,2511.2579624456685,16194.572077188895
s_008um_00567_00180-1,16009.624006507716,16691.085897648798
s_008um_00722_00560-1,4983.380521558587,21382.480314028227
s_008um_00490_00657-1,2050.117590089127,14654.358773202619
s_008um_00249_00207-1,15082.438478784175,7419.174228120715
s_008um_00579_00537-1,5591.929708895058,17198.91475154685
s_008um_00493_00590-1,4007.0719154295816,14712.273234929864
s_008um_00125_00331-1,11407.213615970495,3854.1619615979243
s_008um_00319_00457-1,7813.255633974663,9574.249845417356
s_008um_00128_00451-1,7904.67377389575,3995.532012123887
s_008um_00062_00429-1,8518.083314139423,2058.6996810935116
s_008um_00570_00365-1,10609.197662440874,16860.325681563965
s_008um_00438_00715-1,334.37283701861264,13162.366839251457
s_008um_00021_00174-1,15946.725570711596,746.8953080326203
s_008um_00376_00472-1,7400.3350802415935,11244.840176800073
s_008um_00498_00166-1,16388.365222317698,14670.596657763397
s_008um_00308_00503-1,6465.484164399499,9273.62065254397
s_008um_00471_00614-1,3296.854419687074,14080.78040743814
s_008um_00058_00140-1,16955.884057144056,1812.0722082108755
s_008um_00088_00248-1,13814.80878647506,2736.589851157855
s_008um_00421_00167-1,16325.591573563883,12423.090120348066
s_008um_00208_00131-1,17284.1132460245,6188.098326175013
s_008um_00520_00643-1,2471.9488314552423,15523.745458974849
s_008um_00601_00231-1,14535.233298713578,17706.095265259144
s_008um_00625_00642-1,2547.3417264939776,18587.714665509433
s_008um_00689_00231-1,14573.644621171428,20274.805175744048
s_008um_00015_00322-1,11621.903335446892,638.2761810083268
s_008um_00252_00333-1,11404.373840595192,7562.999841860232
s_008um_00374_00335-1,11399.346995540112,11125.579688459884
s_008um_00540_00226-1,14654.606871340337,15923.22242937028
s_008um_00647_00352-1,11022.435898370964,19102.11571939918
s_008um_00295_00642-1,2402.115679647427,8956.052148910097
s_008um_00250_00496-1,6644.387123744954,7577.35040719924
s_008um_00168_00202-1,15193.110472224254,5051.900752216804
s_008um_00603_00569-1,4668.396821623861,17913.48768313038
s_008um_00075_00395-1,9516.53382963551,2422.9969272188864
s_008um_00551_00513-1,6280.218928789999,16371.09125723809
s_008um_00620_00518-1,6164.551724908057,18387.170466798947
s_008um_00046_00394-1,9533.029483662927,1575.814191934016
s_008um_00351_00637-1,2572.708637471808,10588.42855929276
s_008um_00437_00522-1,5967.447120427494,13047.622972033549
s_008um_00483_00217-1,14892.535032886153,14255.275089883402
s_008um_00098_00249-1,13789.973273300813,3029.0323305771753
s_008um_00649_00397-1,9709.54562154622,19180.29924389392
s_008um_00365_00342-1,11191.021579586955,10865.953010593592
s_008um_00159_00554-1,4911.171152016897,4946.693375026461
s_008um_00214_00486-1,6920.537228888922,6521.930214239622
s_008um_00339_00333-1,11442.433122679671,10102.921181958769
s_008um_00457_00483-1,7114.737519497655,13614.122457094596
s_008um_00565_00627-1,2958.753290132356,16830.026342373447
s_008um_00671_00571-1,4639.898961225375,19898.93682089549
s_008um_00312_00521-1,5941.756708628462,9398.402040714354
s_008um_00283_00407-1,9257.27802349447,8501.032303343756
s_008um_00564_00528-1,5848.058971000662,16757.14474244081
s_008um_00101_00392-1,9615.519954738005,3180.7788434513586
s_008um_00359_00490-1,6867.385370982938,10756.59369317339
s_008um_00536_00324-1,11791.380332411087,15849.765675077939
s_008um_00397_00668-1,1688.1075904615395,11944.858293378622
s_008um_00443_00565-1,4714.850214212629,13241.816880329889
s_008um_00533_00242-1,14184.350664143227,15725.951439889184
s_008um_00722_00396-1,9770.706587489287,21310.483917180165
s_008um_00439_00337-1,11369.385773654065,13023.979377869828
s_008um_00521_00379-1,10179.008234964125,15436.225604188667
s_008um_00442_00637-1,2612.75344420472,13244.541510948691
s_008um_00604_00280-1,13105.80214514415,17815.271877188912
s_008um_00667_00453-1,8082.614763868972,19730.299939044875
s_008um_00360_00548-1,5174.636994022183,10811.567405881888
s_008um_00451_00609-1,3434.0041096734317,13494.81959472669
s_008um_00169_00272-1,13149.330023221035,5112.430735455107
s_008um_00274_00347-1,11005.211344712803,8211.534476386363
s_008um_00524_00101-1,18297.907494749245,15400.878501503605
s_008um_00516_00360-1,10731.544797442322,15281.874380406045
s_008um_00340_00395-1,9632.609170367126,10159.699228612157
s_008um_00575_00120-1,17765.247313748245,16898.137381831362
s_008um_00341_00591-1,3911.0553146297493,10276.079332812367
s_008um_00076_00156-1,16496.423887959823,2344.88405459682
s_008um_00467_00664-1,1835.6792797112516,13986.173663493553
s_008um_00315_00659-1,1914.7004183598115,9547.411736704657
s_008um_00250_00387-1,9826.771195453774,7528.708929659273
s_008um_00612_00469-1,7591.422887419027,18132.08911974004
s_008um_00029_00361-1,10489.18357820026,1064.606987043286
s_008um_00394_00484-1,7057.904501371418,11775.602663149248
s_008um_00301_00364-1,10520.65406034977,9007.357623576641
s_008um_00188_00370-1,10295.995159111699,5711.0146016019535
s_008um_00156_00114-1,17757.967814468026,4662.105739988605
s_008um_00523_00346-1,11143.359577671314,15480.0157386965
s_008um_00373_00365-1,10522.97235793204,11109.71887377652
s_008um_00630_00173-1,16241.50289178737,18527.065829796054
s_008um_00133_00246-1,13892.870092576364,4049.651788807036
s_008um_00451_00414-1,9126.507888669932,13408.407460898794
s_008um_00392_00684-1,1218.9005929755683,11806.023695807584
s_008um_00261_00562-1,4722.448353052451,7927.909006848988
s_008um_00707_00530-1,5852.464125792237,20931.5500137771
s_008um_00324_00634-1,2648.3957450641924,9798.987863569098
s_008um_00661_00178-1,16109.015017959271,19434.179933227384
s_008um_00095_00241-1,14022.290828607269,2937.844660062063
s_008um_00605_00506-1,6508.2589920615,17944.090186093705
s_008um_00549_00334-1,11505.095205254052,16233.656415635058
s_008um_00717_00588-1,4163.916097210046,21248.855655574855
s_008um_00175_00475-1,7224.575845738664,5378.445422301714
s_008um_00321_00605-1,3493.5903775040974,9698.512281395131
s_008um_00479_00145-1,16993.34272411881,14106.617004472742
s_008um_00107_00311-1,11983.360292014464,3319.6333255957034
s_008um_00538_00112-1,17982.760383601973,15814.454910606024
s_008um_00569_00368-1,10521.172845081866,16832.460708734045
s_008um_00469_00686-1,1194.4412968684396,14054.287754224026
s_008um_00261_00321-1,11758.705932416453,7820.40288898992
s_008um_00272_00553-1,4990.0144445376545,8245.002763700579
s_008um_00130_00489-1,6796.089480175141,4070.9502530326604
s_008um_00649_00125-1,17651.465433233323,19060.559353846606
s_008um_00241_00568-1,4538.504377126536,7346.7515141285885
s_008um_00453_00154-1,16719.182149014927,13351.552949390312
s_008um_00159_00462-1,7597.1062425114715,4905.512696360443
s_008um_00155_00376-1,10106.352779132574,4750.229000608067
s_008um_00681_00277-1,13227.036870073805,20061.519466383088
s_008um_00426_00129-1,17437.507973227664,12552.20380014557
s_008um_00504_00215-1,14960.101381537299,14867.438481806455
s_008um_00190_00291-1,12603.676649036524,5734.075571470293
s_008um_00650_00174-1,16221.02189024851,19111.32332570688
s_008um_00722_00422-1,9011.685758081561,21321.898799746625
s_008um_00350_00615-1,3214.4423587971764,10549.457745534542
s_008um_00719_00155-1,16805.915999974368,21117.09288595512
s_008um_00263_00508-1,6299.761714867383,7962.207658785075
s_008um_00604_00144-1,17077.01726684219,17755.30508840105
s_008um_00304_00159-1,16508.211204548265,9003.61021402564
s_008um_00366_00492-1,6812.069585843444,10961.818949897064
s_008um_00333_00159-1,16520.854000007526,9850.316229701384
s_008um_00450_00513-1,6235.884159473101,13423.09142771431
s_008um_00590_00323-1,11844.192169188023,17425.579667873353
s_008um_00741_00485-1,7180.939536328346,21904.061501141965
s_008um_00706_00615-1,3371.0213103479846,20939.69816439274
s_008um_00276_00485-1,6976.937055201846,8331.45319151804
s_008um_00092_00528-1,5640.788171001639,2979.023364851749
s_008um_00257_00240-1,14122.238846450553,7667.4777955862
s_008um_00462_00622-1,3059.383918131205,13821.639247410947
s_008um_00403_00327-1,11645.619008743693,11968.619918317385
s_008um_00652_00189-1,15783.884517396047,19176.30779092505
s_008um_00440_00460-1,7778.733037424597,13107.704531407388
s_008um_00052_00164-1,16252.308322650686,1647.6481054743335
s_008um_00496_00302-1,12416.242618105234,14672.400192089402
s_008um_00605_00175-1,16172.200373629006,17798.16619497446
s_008um_00426_00430-1,8648.430641033088,12685.73623726075
s_008um_00352_00678-1,1376.4102210521019,10635.845546133663
s_008um_00280_00235-1,14278.292871531017,8336.765586150046
s_008um_00250_00286-1,12775.908100794557,7483.632542488196
s_008um_00335_00441-1,8287.395581080396,10034.203366182928
s_008um_00295_00167-1,16270.653438614838,8744.40189101833
s_008um_00773_00528-1,5939.818865235203,22856.792933909175
s_008um_00657_00282-1,13070.563684934441,19363.189758774923
s_008um_00605_00144-1,17077.45302064915,17784.497022738327
s_008um_00159_00416-1,8940.170243896233,4884.920878164741
s_008um_00647_00535-1,5680.170663856102,19182.666319795462
s_008um_00282_00667-1,1666.6581375980863,8587.725202680816
s_008um_00612_00525-1,5956.705497732368,18156.767139688283
s_008um_00135_00361-1,10535.586209359457,4159.57828709342
s_008um_00429_00223-1,14693.760012207182,12681.491007110757
s_008um_00210_00488-1,6860.3917279087555,6406.049388445698
s_008um_00597_00619-1,3206.332122656599,17760.417886457693
s_008um_00449_00283-1,12950.477587300522,13291.961314878054
s_008um_00440_00609-1,3429.166322330906,13173.755798869004
s_008um_00495_00429-1,8707.864631520226,14699.410338082784
s_008um_00146_00438-1,8292.127999078424,4515.22885629144
s_008um_00559_00207-1,15217.706762122782,16469.472992098246
s_008um_00517_00686-1,1215.5828338291788,15455.196506514269
s_008um_00466_00236-1,14330.299630671687,13767.409945075042
s_008um_00749_00531-1,5841.714786515849,22157.709772481358
s_008um_00275_00208-1,15064.581454681444,8178.742775859941
s_008um_00094_00268-1,13233.36739889073,2920.760932817747
s_008um_00311_00548-1,5153.111138016123,9381.233104378236
s_008um_00281_00383-1,9957.137745532873,8431.94593480785
s_008um_00072_00156-1,16494.679899321705,2228.079544723818
s_008um_00396_00676-1,1454.163875663881,11919.221976518955
s_008um_00141_00162-1,16349.528851495857,4245.606021621793
s_008um_00646_00133-1,17416.54051837784,18976.507570062622
s_008um_00105_00548-1,5062.607697660154,3367.5268383517414
s_008um_00156_00312-1,11975.587880217263,4750.770050798859
s_008um_00601_00343-1,11265.073248399935,17755.480973519123
s_008um_00163_00171-1,16096.27384121807,4892.027888654326
s_008um_00394_00265-1,13452.043264766773,11678.350031371145
s_008um_00551_00580-1,4324.461920979796,16400.677840044253
s_008um_00588_00203-1,15347.161440213362,17314.262250250587
s_008um_00123_00159-1,16429.297706148856,3718.6608507234864
s_008um_00272_00385-1,9894.801174266287,8170.0912105482175
s_008um_00718_00507-1,6528.659437446579,21242.477203336406
s_008um_00554_00490-1,6952.94588245504,16448.49684606583
s_008um_00325_00125-1,17510.324177971288,9601.605437406733
s_008um_00201_00291-1,12608.485055095714,6055.241575908066
s_008um_00438_00284-1,12916.471293420165,12971.285619045506
s_008um_00218_00307-1,12148.703514414672,6558.73377259591
s_008um_00651_00240-1,14294.26723480963,19169.56812960668
s_008um_00392_00635-1,2649.1291809187446,11784.268926519497
s_008um_00654_00444-1,8339.648019318302,19346.918691682928
s_008um_00335_00249-1,13893.485527630532,9948.764532055173
s_008um_00596_00137-1,17277.94770027611,17518.681363598283
s_008um_00279_00676-1,1402.6365956611157,8504.16757830803
s_008um_00357_00252-1,13815.490303056338,10592.386286521052
s_008um_00251_00466-1,7520.675256941555,7593.156649682429
s_008um_00368_00130-1,17383.03391956344,10859.290157970536
s_008um_00275_00547-1,5166.488564490456,8329.902396930234
s_008um_00759_00409-1,9407.399581516313,22396.05381530769
s_008um_00112_00511-1,6145.887062892974,3555.3003069087513
s_008um_00766_00450-1,8213.589136208833,22618.32176150927
s_008um_00142_00438-1,8290.374370260399,4398.446592073592
s_008um_00577_00387-1,9969.963405401357,17074.357304416
s_008um_00091_00176-1,15918.84525050331,2791.874812248035
s_008um_00633_00640-1,2609.235651874873,18820.305050212468
s_008um_00044_00212-1,14846.947875679783,1435.613770344731
s_008um_00613_00410-1,9314.255534712367,18135.27522370671
s_008um_00407_00208-1,15122.182895968019,12032.563328285974
s_008um_00389_00358-1,10734.35774277036,11573.689710324674
s_008um_00649_00512-1,6352.424825825688,19230.914370272254
s_008um_00721_00189-1,15813.976776003112,21190.403693205175
s_008um_00664_00425-1,8898.695073277804,19630.424127518047
s_008um_00514_00489-1,6964.58828480714,15280.539553922014
s_008um_00195_00146-1,16840.36049854927,5815.216531968821
s_008um_00075_00434-1,8377.79188777634,2440.5058787176727
s_008um_00682_00515-1,6279.337878045297,20195.345349671497
s_008um_00487_00337-1,11390.383522242291,14425.170264276514
s_008um_00646_00115-1,17942.18415544432,18968.58164912813
s_008um_00435_00670-1,1646.4641757767017,13054.859844445393
s_008um_00600_00531-1,5776.293836861377,17809.179396756703
s_008um_00288_00645-1,2311.465654688316,8753.060047018318
s_008um_00507_00252-1,13880.999716603163,14971.385403345796
s_008um_00244_00502-1,6466.5869181904245,7404.871171034675
s_008um_00151_00268-1,13258.273495411933,4585.078427242776
s_008um_00064_00406-1,9190.525858251853,2106.7643137258915
s_008um_00587_00322-1,11872.07717043182,17337.57010438043
s_008um_00282_00483-1,7037.958945282262,8505.716466821794
s_008um_00402_00266-1,13426.337843160032,11912.343867354406
s_008um_00606_00618-1,3239.4784556499826,18022.639551824737
s_008um_00253_00375-1,10178.460977607654,7610.937463205887
s_008um_00633_00375-1,10344.819483771122,18703.611668850615
s_008um_00147_00387-1,9781.661968353925,4521.584306679899
s_008um_00564_00364-1,10635.767483800719,16684.748945888503
